2012-01-09 17:05:29 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : default, lat : 40.79721, long : -77.86149, rho : 1, scores : ["0bca190e-7977-00ae-d36f-b0b6053b5327", "c7e6433f-d70e-7fca-67f4-5640b662ab07"],  
2012-01-09 17:05:30 - WARN  --> {"code":"expired_auth","nonce":"q_ZaLW3#cPw4JKdOWZ)M(t&tR(M9)2GN79crB2r2"} 
2012-01-09 17:05:30 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79721, long : -77.86149, rho : 1, scores : ["0bca190e-7977-00ae-d36f-b0b6053b5327", "c7e6433f-d70e-7fca-67f4-5640b662ab07"],  
2012-01-09 17:05:30 - WARN  --> {"code":"shouts","scores":[{"shout_id":"0bca190e-7977-00ae-d36f-b0b6053b5327","ups":"2","downs":0,"hit":"11","pts":2,"open":0},{"shout_id":"c7e6433f-d70e-7fca-67f4-5640b662ab07","ups":"1","downs":"1","hit":"11","pts":0,"open":0}],"rho":1.0e-5} 
2012-01-09 17:05:52 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79721, long : -77.86149,  
2012-01-09 17:05:52 - WARN  --> {"code":"ping_ok"} 
2012-01-09 17:06:22 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79721, long : -77.86149,  
2012-01-09 17:06:22 - WARN  --> {"code":"ping_ok"} 
2012-01-09 17:06:43 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79721, long : -77.86149,  
2012-01-09 17:06:43 - WARN  --> {"code":"ping_ok"} 
2012-01-09 17:06:48 - WARN  --> a : shout, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79721, long : -77.86149, txt : joe, power : 6,  
2012-01-09 17:06:48 - WARN  --> {"code":"shout_sent"} 
2012-01-09 17:07:13 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79721, long : -77.86149,  
2012-01-09 17:07:13 - WARN  --> {"code":"shouts","shouts":[{"shout_id":"fac3bcd0-a49d-e416-ccaf-0bcbc352d65c","ts":"2012-01-09T17:06:48+0000","txt":"joe"}]} 
2012-01-09 17:07:34 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79184, long : -77.85899, rho : 1, scores : ["fac3bcd0-a49d-e416-ccaf-0bcbc352d65c"],  
2012-01-09 17:07:34 - WARN  --> {"code":"shouts","scores":[{"shout_id":"fac3bcd0-a49d-e416-ccaf-0bcbc352d65c","ups":1,"downs":0,"hit":1,"pts":1,"open":1}],"rho":1.0e-5} 
2012-01-09 17:07:55 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79184, long : -77.85899, scores : ["fac3bcd0-a49d-e416-ccaf-0bcbc352d65c"],  
